asset_id,ticker,sector,market_cap,volatility,past_return
1,AS001,Materials,Mid,0.317,-0.194
2,AS002,Materials,Large,0.228,0.309
3,AS003,Materials,Mid,0.272,0.076
4,AS004,Consumer,Small,0.323,0.073
5,AS005,Technology,Small,0.599,-0.03
6,AS006,Materials,Large,0.182,0.059
7,AS007,Healthcare,Mid,0.296,0.62
8,AS008,Utilities,Large,0.181,0.388
9,AS009,Utilities,Large,0.309,0.069
10,AS010,Utilities,Small,0.509,0.134
11,AS011,Consumer,Mid,0.433,-0.024
12,AS012,Consumer,Small,0.332,0.294
13,AS013,Financials,Mid,0.103,0.044
14,AS014,Utilities,Large,0.126,0.234
15,AS015,Consumer,Large,0.165,0.548
16,AS016,Utilities,Mid,0.499,0.179
17,AS017,Technology,Mid,0.193,0.33
18,AS018,Utilities,Mid,0.242,0.118
19,AS019,Materials,Large,0.521,0.31
20,AS020,Consumer,Small,0.139,0.023
21,AS021,Industrials,Mid,0.369,0.222
22,AS022,Technology,Small,0.138,0.039
23,AS023,Healthcare,Mid,0.297,0.079
24,AS024,Materials,Large,0.407,-0.016
25,AS025,Utilities,Large,0.219,0.239
26,AS026,Industrials,Small,0.184,0.845
27,AS027,Industrials,Large,0.318,0.045
28,AS028,Energy,Mid,0.367,0.298
29,AS029,Materials,Large,0.177,0.776
30,AS030,Materials,Mid,0.147,0.072
