user_id,age,income,risk_tolerance
1,58,98148,low
2,48,154243,high
3,34,150174,medium
4,62,184555,low
5,27,154358,low
6,40,78555,low
7,58,47159,low
8,38,140510,medium
9,42,136530,medium
10,30,110077,high
11,30,65920,medium
12,43,49457,low
13,55,108953,medium
14,59,82995,medium
15,43,39692,medium
16,22,67065,medium
17,41,129299,medium
18,21,193678,medium
19,43,41534,medium
20,63,70397,low
21,49,121387,low
22,57,31016,low
23,21,85591,medium
24,40,53247,low
25,52,54300,medium
26,31,112798,high
27,41,39268,low
28,63,116807,medium
29,44,42185,medium
30,68,169643,low
31,46,68044,low
32,61,81214,low
33,47,144752,low
34,35,78984,high
35,34,70774,high
36,66,32568,medium
37,63,150151,high
38,22,163767,high
39,56,154375,low
40,26,166330,high
41,40,69504,medium
42,28,194231,high
43,58,43986,high
44,37,91858,low
45,23,159312,low
46,44,42666,low
47,33,68660,medium
48,69,164633,high
49,28,56854,high
50,45,94505,low
